 ,Date,Observers,Note,Phase,Flowers on Ground (0-4),Nuts on Tree (0-4)?,Nuts on Ground?,% Canopy w/ Leaves,% of Leaves Green,,
42,16/10/2017,ENI,,N,0,2,No,95,100,,
43,16/10/2017,ENI,,N,0,3,No,5,5,,
,,,,,,,,,,,
20,04/11/2017,DHK III,,N,0,3,No,85,95,,
21,04/11/2017,DHK III,,N,0,2,No,100,100,,
22,04/11/2017,DHK III,,N,0,1,No,90,75,,
23,04/11/2017,DHK III,,N,0,1,No,95,100,,
24,04/11/2017,DHK III,,N,0,2,No,95,100,,
25,04/11/2017,DHK III,,N,0,2,No,95,100,,
26,04/11/2017,DHK III,,N,0,2,No,95,100,,
27,04/11/2017,DHK III,,N,0,2,No,85,100,,
28,04/11/2017,DHK III,,N,0,1,No,95,100,,
29,04/11/2017,DHK III,,N,0,1,No,90,95,,
30,04/11/2017,DHK III,,N,0,3,No,75,95,,
31,04/11/2017,DHK III,,N,0,3,No,60,90,,
32,04/11/2017,DHK III,,N,0,1,No,85,100,,
33,04/11/2017,DHK III,,N,0,2,No,95,100,,
34,04/11/2017,DHK III,,N,0,2,No,95,95,,
40,04/11/2017,DHK III,,N,0,2,No,95,100,,
39,04/11/2017,DHK III,,N,0,3,No,95,100,,
37,04/11/2017,DHK III,,N,0,2,No,90,100,,
36,04/11/2017,DHK III,,D,0,0,No,90,100,,
35,04/11/2017,DHK III,,N,0,1,No,85,95,,
38,04/11/2017,DHK III,,N,0,3,No,100,100,,
41,04/11/2017,DHK III,,N,0,1,No,95,100,,
42,04/11/2017,DHK III,,N,0,1,No,90,100,,
43,04/11/2017,DHK III,,N,0,2,No,40,75,,
,,,,,,,,,,,
20,17/11/2017,ENI,,N,0,4,No,100,100,,
21,17/11/2017,ENI,,N,0,4,No,100,100,,
22,17/11/2017,ENI,,N,0,3,No,100,100,,
23,17/11/2017,ENI,,F,3,3,No,100,100,,
24,17/11/2017,ENI,,F,2,1,No,95,100,,
25,17/11/2017,ENI,,F,2,3,No,95,100,,
26,17/11/2017,ENI,,F,4,4,No,100,100,,
27,17/11/2017,ENI,,N,0,4,No,95,100,,
28,17/11/2017,ENI,,N,3,0,No,100,100,,
29,17/11/2017,ENI,,N,0,4,No,100,100,,
30,17/11/2017,ENI,,N,0,4,No,95,100,,
31,17/11/2017,ENI,,F,2,2,No,95,100,,
32,18/11/2017,DHK III,,N,0,1,No,85,95,,
33,18/11/2017,ENI,,F,2,3,No,100,100,,
34,18/11/2017,ENI,,N,0,3,No,100,100,,
40,18/11/2017,DHK III,,F,1,2,No,95,95,,
39,17/11/2017,ENI,,N,0,3,No,95,100,,
37,18/11/2017,DHK III,,N,0,2,No,75,95,,
36,18/11/2017,DHK III,,D,0,0,No,80,100,,
35,17/11/2017,ENI,,F,2,1,No,95,100,,
38,18/11/2017,DHK III,,N,0,3,No,80,95,,
41,17/11/2017,ENI,,F,2,3,No,90,100,,
42,17/11/2017,ENI,,F,1,3,No,100,100,,
43,17/11/2017,ENI,,N,0,2,No,75,90,,
,,,,,,,,,,,
20,29/11/2017,ENI,,N,0,4,No,100,100,,
21,29/11/2017,ENI,,N,0,3,No,100,100,,
22,29/11/2017,ENI,,N,0,2,No,100,100,,
23,29/11/2017,ENI,,N,4,0,No,100,100,,
24,29/11/2017,ENI,,F,3,4,No,95,100,,
25,29/11/2017,ENI,,F,2,3,No,100,100,,
26,29/11/2017,ENI,,F,3,2,Yes,100,100,,
27,29/11/2017,ENI,,N,0,3,No,100,100,,
28,29/11/2017,ENI,,F,2,4,Yes,100,100,,
29,29/11/2017,ENI,,F,2,0,No,100,100,,
30,29/11/2017,ENI,,F,2,4,No,90,100,,
31,29/11/2017,ENI,,N,0,3,No,50,100,,
32,29/11/2017,ENI,,F,3,2,No,95,100,,
33,29/11/2017,ENI,,F,3,3,No,95,100,,
34,29/11/2017,ENI,,N,0,4,No,100,100,,
40,29/11/2017,ENI,,F,3,2,No,95,100,,
39,29/11/2017,ENI,,F,3,4,No,95,100,,
37,29/11/2017,ENI,,F,3,4,No,95,100,,
36,29/11/2017,ENI,,D,0,0,No,100,100,,
35,29/11/2017,ENI,,F,2,3,No,95,100,,
38,29/11/2017,ENI,,F,3,4,No,100,100,,
41,29/11/2017,ENI,,F,3,3,No,90,100,,
42,29/11/2017,ENI,,F,4,2,No,100,100,,
43,29/11/2017,ENI,,N,0,4,No,65,100,,
,,,,,,,,,,,
34,15/12/2017,"JS, JRQ, EI",veg too thick to find fresh cocos,,4,4,none,100,100,,
30,14/12/2017,"JS, JRQ, EI",,,3,4,none,95,100,,
20,14/12/2017,"JS, JRQ, EI",,,0,2,many,100,100,,
31,14/12/2017,"JS, JRQ, EI",,,0,2,none,65,100,,
40,14/12/2017,"JS, JRQ, EI",,,3,0,none,95,100,,
41,14/12/2017,"JS, JRQ, EI",,,3,3,none,95,100,,
21,14/12/2017,"JS, JRQ, EI",,,0,2,one,100,100,,
22,14/12/2017,"JS, JRQ, EI",,,0,2,none,100,100,,
23,14/12/2017,"JS, JRQ, EI",,,3,0,one,100,100,,
26,14/12/2017,"JS, JRQ, EI",,,4,2,many,100,100,,
24,14/12/2017,"JS, JRQ, EI",,,4,3,many,95,100,,
25,14/12/2017,"JS, JRQ, EI",,,3,0,many,95,100,,
27,14/12/2017,"JS, JRQ, EI",,,0,3,many,95,100,,
43,14/12/2017,"JS, JRQ, EI",,,0,3,none,45,100,,
29,14/12/2017,"JS, JRQ, EI",,,3,1,many,100,100,,
28,14/12/2017,"JS, JRQ, EI",,,3,3,many,90,100,,
42,14/12/2017,"JS, JRQ, EI",,,4,0,many,90,100,,
38,14/12/2017,"JS, JRQ, EI",,,2,1,many,90,100,,
37,14/12/2017,"JS, JRQ, EI",,,2,3,none,95,100,,
35,14/12/2017,"JS, JRQ, EI",,,1,1,one,90,100,,
32,14/12/2017,"JS, JRQ, EI",,,1,1,none,90,100,,
39,14/12/2017,"JS, JRQ, EI",,,2,2,none,90,100,,
33,14/12/2017,"JS, JRQ, EI",,,3,3,none,95,100,,
36,14/12/2017,"JS, JRQ, EI",,,3,1,none,95,100,,
,,,,,,,,,,,
35,28/12/2017,Zephyr,,,1,1,none,95,100,,
33,28/12/2017,Zephyr,,,1,1,none,100,100,,
34,28/12/2017,Zephyr,,,3,3,none,95,100,,
36,28/12/2017,Zephyr,,,3,0,none,95,100,,
32,28/12/2017,Zephyr,,,1,1,none,90,100,,
37,28/12/2017,Zephyr,,,2,2,none,90,100,,
30,28/12/2017,Zephyr,,,2,4,none,95,100,,
40,28/12/2017,Zephyr,,,1,1,none,85,100,,
38,28/12/2017,Zephyr,,,2,1,some,100,100,,
31,28/12/2017,Zephyr,,,1,3,none,90,100,,
39,28/12/2017,Zephyr,,,3,4,none,95,100,,
41,28/12/2017,Zephyr,,,1,3,many,90,100,,
20,28/12/2017,Zephyr,,,3,3,many,100,100,,
24,28/12/2017,Zephyr,,,2,2,some,100,100,,
22,28/12/2017,Zephyr,,,1,1,some,100,100,,
26,28/12/2017,Zephyr,,,1,1,many,95,100,,
23,28/12/2017,Zephyr,,,1,1,some,100,100,,
25,28/12/2017,Zephyr,,,4,2,many,100,100,,
24,28/12/2017,Zephyr,,,4,3,some,95,100,,
27,28/12/2017,Zephyr,,,3,3,some,100,100,,
28,28/12/2017,Zephyr,,,2,3,many,100,100,,
43,28/12/2017,Zephyr,,,3,4,none,70,100,,
29,28/12/2017,Zephyr,,,1,2,some,95,100,,
42,28/12/2017,Zephyr,,,0,1,some,95,100,,
,,,,,,,,,,,
30,11/01/2018,"Zephyr, Johanna",,,1,3,some,95,100,,
31,11/01/2018,"Zephyr, Johanna",Difficult to see,,2,2,none,50,100,,
40,11/01/2018,"Zephyr, Johanna",check again,,0,0,none,95,100,,
38,11/01/2018,"Zephyr, Johanna",,,1,0,some,95,100,,
35,11/01/2018,"Zephyr, Johanna",,,0,0,none,90,100,,
37,11/01/2018,"Zephyr, Johanna",difficult to see,,2,1,none,90,100,,
34,12/02/2018,"Zephyr, Johanna",,,2,4,some,95,100,,
41,12/02/2018,"Zephyr, Johanna",,,0,2,some,90,100,,
20,12/02/2018,"Zephyr, Johanna",,,4,1,many,95,100,,
21,12/02/2018,"Zephyr, Johanna",only see half canopy,,4,3,many,100,100,,
22,12/02/2018,"Zephyr, Johanna",,,4,1,many,100,100,,
23,12/02/2018,"Zephyr, Johanna",,,0,0,some,100,100,,
26,12/02/2018,"Zephyr, Johanna",,,1,1,many,100,100,,
27,12/02/2018,"Zephyr, Johanna",,,4,1,many,95,100,,
28,12/02/2018,"Zephyr, Johanna",,,3,1,many,100,100,,
43,12/02/2018,"Zephyr, Johanna",,,3,3,many,80,100,,
29,12/02/2018,"Zephyr, Johanna",,,1,1,many,100,100,,
24,12/02/2018,"Zephyr, Johanna",,,1,1,many,100,100,,
25,12/02/2018,"Zephyr, Johanna",,,3,1,many,95,100,,
42,12/02/2018,"Zephyr, Johanna",,,0,0,many,100,100,,
39,12/02/2018,"Zephyr, Johanna",could have more,,2,4,some,100,100,,
32,12/02/2018,"Zephyr, Johanna",diff. to see,,1,1,none,90,100,,
33,12/02/2018,"Zephyr, Johanna",,,1,1,none,100,100,,
36,12/02/2018,"Zephyr, Johanna",,,2,0,none,100,100,,
,,,,,,,,,,,
41,22/01/2018,"Johana, Alan",After harvest (For all of them)),,0,3,some,100,100,,
20,22/01/2018,"Johana, Alan",,,4,2,some,100,100,,
21,22/01/2018,"Johana, Alan",,,4,3,several/many,90,100,,
22,22/01/2018,"Johana, Alan",,,4,2,many,100,100,,
23,22/01/2018,"Johana, Alan",,,0,0,some,85,100,,
26,22/01/2018,"Johana, Alan",,,0,0,some,95,100,,
27,22/01/2018,"Johana, Alan",,,3,1,some,90,100,,
28,22/01/2018,"Johana, Alan",,,3,0,several,70,100,,
43,22/01/2018,"Johana, Alan",,,4,4,several/many,70,100,,
29,22/01/2018,"Johana, Alan",,,0,2,several/many,95,100,,
24,22/01/2018,"Johana, Alan",,,1,0,some,95,100,,
25,22/01/2018,"Johana, Alan",,,2,2,some,95,100,,
42,22/01/2018,"Johana, Alan",,,2,0,none,95,100,,
39,22/01/2018,"Johana, Alan",,,2,3,several,90,100,,
38,22/01/2018,"Johana, Alan",,,0,0,none,95,100,,
30,22/01/2018,"Johana, Alan",,,0,4,some,85,100,,
40,22/01/2018,"Johana, Alan",,,0,2,none,95,100,,
32,26/01/2018,"Johana, Alan",,,2,1,none,85,100,,
33,26/01/2018,"Johana, Alan",Hard to see,,1,2,some,95,100,,
34,26/01/2018,"Johana, Alan",Hard to see,,1,3,none,95,100,,
37,26/01/2018,"Johana, Alan",,,0,1,none,95,100,,
35,26/01/2018,"Johana, Alan",Hard to see,,0,2,none,90,100,,
31,25/01/2018,"Johana, Alan",Hard to see,,0,0,none,60,100,,
36,26/01/2018,"Johana, Alan",,,2,0,none,95,100,,
,,,,,,,,,,,
41,06/02/2018,,,,0,1,none,95,100,,
20,06/02/2018,,,,3,0,many,95,100,,
21,06/02/2018,,,,4,0,many,90,100,,
22,06/02/2018,,Hard to see,,4,0,many,100,100,,
23,06/02/2018,,,,0,0,some,100,100,,
26,06/02/2018,,,,0,0,some,100,100,,
27,06/02/2018,,,,4,0,many,95,100,,
28,06/02/2018,,Hard to see,,3,0,many,80,100,,
43,06/02/2018,,,,4,2,some,80,100,,
29,06/02/2018,,Hard to see,,0,1,many,90,100,,
24,06/02/2018,,Hard to see,,0,0,somr,100,100,,
25,06/02/2018,,,,2,0,many,100,100,,
42,06/02/2018,,,,0,0,some,90,100,,
39,06/02/2018,,,,0,1,none,90,100,,
38,06/02/2018,,,,0,1,none,95,100,,
30,06/02/2018,,,,0,1,none,85,100,,
31,06/02/2018,,,,1,0,none,75,100,,
40,06/02/2018,,,,0,2,none,90,100,,
35,06/02/2018,,,,0,2,none,90,100,,
33,06/02/2018,,,,0,2,none,90,100,,
34,06/02/2018,,,,0,1,some,95,100,,
36,06/02/2018,,,,0,0,none,100,100,,
37,06/02/2018,,,,0,0,none,90,100,,
32,06/02/2018,,,,1,0,none,95,100,,
,,,,,,,,,,,
41,23/02/2018,,,,0,0,many,95,100,,
20,23/02/2018,,,,0,0,many,95,100,,
21,23/02/2018,,,,3,0,many,100,100,,
22,23/02/2018,,,,1,0,many,100,100,,
23,23/02/2018,,,,0,0,some,100,100,,
26,23/02/2018,,,,0,0,some,100,100,,
27,23/02/2018,,,,1,0,some,100,100,,
28,23/02/2018,,Hard to see,,1,0,some,95,100,,
43,23/02/2018,,,,1,0,many,85,100,,
29,23/02/2018,,,,0,0,many,100,100,,
24,23/02/2018,,,,0,0,some,95,100,,
25,23/02/2018,,,,0,0,some,100,100,,
42,23/02/2018,,,,0,0,none,100,100,,
39,23/02/2018,,,,0,0,none,190,100,,
38,23/02/2018,,No t..rne etigrelo (??),,0,1,none,100,100,,
30,23/02/2018,,,,0,1,some,95,100,,
31,23/02/2018,,,,0,0,none,65,100,,
40,23/02/2018,,,,0,2,none,100,100,,
35,23/02/2018,,Found one young nut on the ground,,0,2,none,90,100,,
32,23/02/2018,,,,0,0,noen,95,100,,
33,23/02/2018,,,,0,1,none,100,100,,
34,23/02/2018,,,,0,0,some,90,100,,
36,23/02/2018,,,,0,0,none,95,100,,
37,23/02/2018,,hard to see,,0,0,none,85,100,,
,,,,,,,,,,,
41,05/03/2018,Johana,,,0,0,some,90,100,,
20,05/03/2018,Johana,,,0,0,some,95,100,,
21,05/03/2018,Johana,,,0,0,some,90,100,,
22,05/03/2018,Johana,,,0,0,some,95,100,,
23,05/03/2018,Johana,,,0,0,none,100,100,,
26,05/03/2018,Johana,,,0,0,none,100,100,,
27,05/03/2018,Johana,Restado lo que se conto antes (?),,0,0,many,100,100,,
28,05/03/2018,Johana,Hard to see,,0,0,many,95,100,,
43,05/03/2018,Johana,Restado lo que se conto antes (?),,0,0,some,65,100,,
29,05/03/2018,Johana,,,0,0,some,95,100,,
24,05/03/2018,Johana,,,0,0,none,95,100,,
25,05/03/2018,Johana,,,0,1,none,95,100,,
42,05/03/2018,Johana,,,0,0,none,90,100,,
39,05/03/2018,Johana,,,0,0,none,90,100,,
35,05/03/2018,Johana,Ahora que tiene menus hoja se vet (?),,0,2,none,90,100,,
32,05/03/2018,Johana,,,0,0,none,95,100,,
37,05/03/2018,Johana,,,0,0,none,85,100,,
33,05/03/2018,Johana,,,0,1,none,90,100,,
34,05/03/2018,Johana,,,0,0,some,95,100,,
36,05/03/2018,Johana,,,0,0,none,90,100,,
38,05/03/2018,Johana,Hard to see,,0,1,none,95,100,,
30,05/03/2018,Johana,Hard to see,,0,1,none,95,100,,
31,05/03/2018,Johana,,,0,0,none,55,100,,
40,05/03/2018,Johana,Se ve mejor ahora,,0,2,none,95,100,,
,,,,,,,,,,,
41,23/03/2018,Johana,,,0,2,many,80,99,,
20,23/03/2018,Johana,,,0,2,many,90,97,,
21,23/03/2018,Johana,,,0,0,many,98,100,,
22,23/03/2018,Johana,,,0,1,many,95,98,,
23,23/03/2018,Johana,Hard to see,,0,1,many,95,98,,
26,23/03/2018,Johana,,,0,2,many,98,99,,
27,23/03/2018,Johana,,,0,1,many,95,100,,
28,23/03/2018,Johana,Hard to see,,0,4,many,80,99,,
43,23/03/2018,Johana,,,2,2,many,55,99,,
29,23/03/2018,Johana,Hard to see,,0,4,many,96,98,,
24,23/03/2018,Johana,,,0,3,many,85,98,,
25,23/03/2018,Johana,,,0,4,some,99,98,,
42,23/03/2018,Johana,Hard to see,,0,4,few,90,100,,
39,23/03/2018,Johana,,,0,4,none,70,100,,
32,23/03/2018,Johana,,,1,3,none,90,100,,
33,23/03/2018,Johana,,,0,3,none,95,100,,
34,23/03/2018,Johana,,,0,4,none,90,100,,
36,23/03/2018,Johana,,,0,1,none,95,100,,
37,23/03/2018,Johana,Hard to see,,0,2,none,90,100,,
38,23/03/2018,Johana,,,0,4,none,98,100,,
30,23/03/2018,Johana,,,0,3,none,80,100,,
31,23/03/2018,Johana,Hard to see,,0,3,none,40,100,,
41,23/03/2018,Johana,Hard to see,,0,3,none,95,98,,
35,23/03/2018,Johana,Hard to see,,0,4,none,90,100,,
,,,,,,,,,,,
41,06/04/2018,,,,0,2,some,85,100,,
20,06/04/2018,,,,0,2,some,100,100,,
21,06/04/2018,,,,0,0,many,100,100,,
22,06/04/2018,,,,0,1,many,100,100,,
23,06/04/2018,,,,0,1,some,100,100,,
26,06/04/2018,,"Appears to be 3 (nuts on tree), but before was zero. Johanna noted leaves fallinf, revealing more",,0,3,many,100,100,,
27,06/04/2018,,,,0,0,many,95,100,,
28,06/04/2018,,,,0,3,many,85,100,,
43,06/04/2018,,"Flowering, 2nd week in a row with flowers",,1,1,many,65,100,,
29,06/04/2018,,,,0,4,many,95,100,,
24,06/04/2018,,,,0,2,some,95,100,,
25,06/04/2018,,,,0,4,many,95,100,,
42,06/04/2018,,,,0,4,none,90,100,,
39,06/04/2018,,Replace tag - low visibility on ground,,0,4,none,85,100,,
38,06/04/2018,,Replace tag - low visibility on ground,,0,4,none,100,100,,
30,06/04/2018,,,,0,4,none,95,100,,
40,06/04/2018,,,,0,4,none,95,100,,
31,06/04/2018,,,,0,3,none,60,100,,
32,06/04/2018,,,,0,3,none,90,100,,
33,06/04/2018,,,,0,4,none,100,100,,
34,06/04/2018,,,,0,3,none,95,100,,
36,06/04/2018,,,,0,3,none,95,100,,
37,06/04/2018,,replace tag,,0,3,none,85,100,,
35,06/04/2018,,no tag,,0,4,none,90,100,,
,,,,,,,,,,,
,WEEK MISSING,,,,,,,,,,
,,,,,,,,,,,
41,04/05/2018,Ryan,,,0,2,none,70,100,,
20,04/05/2018,Ryan,,,0,2,none,95,100,,
21,04/05/2018,Ryan,,,0,2,none,95,100,,
22,04/05/2018,Ryan,,,0,1,one,95,100,,
23,04/05/2018,Ryan,Not sure why it was a 3 before,,0,1,none,95,100,,
26,04/05/2018,Ryan,,,0,3,none,100,100,,
27,04/05/2018,Ryan,,,0,1,none,100,100,,
28,04/05/2018,Ryan,,,0,2,noen,90,100,,
43,04/05/2018,Ryan,,,0,2,many,60,100,,
29,04/05/2018,Ryan,stinking cess pool at base of tree. Difficult to see canopy,,0,3,none,95,100,,
24,04/05/2018,Ryan,,,0,3,none,95,100,,
25,04/05/2018,Ryan,,,0,3,none,100,100,,
42,04/05/2018,Ryan,,,0,3,none,95,100,,
39,04/05/2018,Ryan,,,0,3,none,85,100,,
38,04/05/2018,Ryan,Needs Tag,,0,3,none,95,100,,
30,04/05/2018,Ryan,,,0,2,none,95,100,,
40,04/05/2018,Ryan,,,0,2,none,95,100,,
31,04/05/2018,Ryan,,,0,2,none,55,100,,
32,04/05/2018,Ryan,,,0,2,none,95,100,,
33,04/05/2018,Ryan,1st lindero,,0,2,none,95,100,,
34,04/05/2018,Ryan,2nd lindero,,0,2,none,90,100,,
36,04/05/2018,Ryan,,,0,1,none,95,100,,
37,04/05/2018,Ryan,,,0,1,none,90,100,,
35,04/05/2018,Ryan,,,0,4,none,85,100,,
,,,,,,,,,,,
41,16/05/2018,Ryan Smith,,,0,2,none,85,100,,
20,16/05/2018,Ryan Smith,,,0,2,none,95,100,,
21,16/05/2018,Ryan Smith,,,0,2,none,95,100,,
22,16/05/2018,Ryan Smith,,,0,1,one,95,100,,
23,16/05/2018,Ryan Smith,,,0,1,none,95,100,,
26,16/05/2018,Ryan Smith,,,0,3,none,100,100,,
43,16/05/2018,Ryan Smith,,,0,1,none,55,100,,
27,16/05/2018,Ryan Smith,,,0,1,none,100,100,,
28,16/05/2018,Ryan Smith,,,0,2,none,80,100,,
29,16/05/2018,Ryan Smith,,,0,2,none,95,100,,
21,16/05/2018,Ryan Smith,,,0,3,none,95,100,,
25,16/05/2018,Ryan Smith,,,0,2,none,95,100,,
42,16/05/2018,Ryan Smith,Hard to see,,0,2,none,90,100,,
31,16/05/2018,Ryan Smith,"left side looks like 3, right side a 2",,0,2,none,90,100,,
38,16/05/2018,Ryan Smith,TAG - could be a 1/2 - check with Geoff,,0,3,none,100,100,,
30,16/05/2018,Ryan Smith,,,0,3,none,90,100,,
31,16/05/2018,Ryan Smith,,,0,2,none,70,100,,
40,16/05/2018,Ryan Smith,,,0,3,none,100,100,,
32,16/05/2018,Ryan Smith,,,0,2,none,95,100,,
33,17/05/2018,Ryan Smith,,,0,3,none,100,100,,
34,17/05/2018,Ryan Smith,,,0,3,none,95,100,,
36,17/05/2018,Ryan Smith,,,0,1,none,95,100,,
37,17/05/2018,Ryan Smith,,,0,2,none,95,100,,
